Z1mass,Z2mass,pt4l,eta4l,massjj,detajj,HT,dRZ1Z2,target
90.29,14.06,215.8,-0.1829,86.08,0.3362,324.5,0.4905,0.0
86.57,37.24,217.8,0.3579,310.2,2.89,219.9,0.1691,0.0
97.37,13.46,138.9,-0.81,220.4,2.903,106.3,0.4296,0.0
91.96,18.97,54.89,-2.6839999999999997,583.5,5.013,101.6,1.758,1.0
91.45,12.06,187.8,-0.5866,55.98,0.3771,220.2,0.6852,1.0
91.56,23.99,70.43,-1.453,76.01,1.025,96.66,1.318,0.0
90.72,22.09,56.87,-0.6028,369.8,5.0489999999999995,60.7,1.19,1.0
89.51,14.47,79.13,-0.7406,606.8,5.835,70.59,0.9895,1.0
90.99,29.19,131.8,-1.515,400.7,3.821,119.0,0.5383,0.0
92.1,26.99,86.19,-1.392,552.1,4.795,106.7,1.4280000000000002,1.0
91.14,14.35,122.0,-1.41,52.8,1.113,85.47,1.2329999999999999,1.0
87.12,35.46,49.12,1.633,182.5,3.092,79.87,0.6113,1.0
85.07,12.9,67.92,-1.459,76.78,1.104,91.83,2.0469999999999997,0.0
87.96,36.77,103.5,-1.6380000000000001,89.36,2.23,87.87,0.1797,0.0
91.97,27.07,130.6,-0.4696,88.51,0.6877,158.1,0.6543,0.0
85.82,22.91,93.02,-0.1727,292.8,3.7560000000000002,128.0,0.4749,1.0
89.88,18.38,73.58,-1.107,994.1,5.343,181.8,1.1,1.0
89.71,33.14,233.5,1.1540000000000001,429.8,2.428,272.7,0.1969,0.0
91.01,29.38,96.15,-0.1426,35.64,0.378,134.3,0.5173,0.0
91.39,31.17,36.7,2.148,1549.0,5.507000000000001,335.3,0.8199,1.0
87.77,29.18,225.0,0.8393,690.3,3.366,329.5,0.1162,1.0
83.08,36.38,258.9,0.2935,188.0,1.565,311.9,0.2961,0.0
82.14,32.08,39.03,1.8430000000000002,2074.0,6.778,140.6,2.318,0.0
78.43,25.93,100.2,-1.411,331.5,3.665,175.7,1.3030000000000002,1.0
79.58,24.03,27.82,2.445,99.59,2.299,58.86,2.634,0.0
91.51,26.11,103.0,-0.1163,229.2,2.7539999999999996,150.3,0.8066,0.0
34.06,14.87,147.7,0.9026,72.55,0.8366,175.7,1.369,0.0
73.38,50.16,23.96,-2.873,659.2,3.593,265.6,1.02,1.0
91.88,23.49,136.1,0.4741,130.6,0.4707,163.7,0.72,0.0
83.3,30.69,67.3,0.2216,68.64,0.7216,69.26,0.8284,0.0
82.49,27.04,10.47,3.5060000000000002,80.46,1.8630000000000002,57.73,3.262,0.0
89.7,25.64,79.77,1.5630000000000002,1043.0,6.152,126.4,0.297,1.0
79.11,43.39,95.09,-0.6391,195.5,2.992,89.18,0.4234,0.0
92.27,23.72,51.98,1.615,866.7,5.135,164.9,1.4169999999999998,1.0
91.14,27.89,149.6,1.7309999999999999,622.7,4.436,154.2,0.4355,1.0
91.83,26.51,60.75,1.475,66.27,0.2906,172.7,1.078,1.0
85.18,21.69,204.0,0.1335,1312.0,5.403,218.4,0.466,1.0
81.83,34.2,228.2,-0.2513,265.2,0.8478,425.7,0.4201,0.0
90.73,29.91,96.13,-0.733,1473.0,6.484,164.5,0.3561,1.0
90.36,22.34,76.98,-0.4182,64.65,0.6875,96.89,1.5519999999999998,1.0
90.71,26.14,24.99,0.4523,306.4,4.295,76.24,3.0410000000000004,1.0
80.08,16.17,33.56,-1.719,518.5,3.827,155.0,2.5860000000000003,1.0
91.16,18.68,48.99,2.048,1895.0,6.769,144.2,1.787,1.0
90.54,32.59,65.59,-2.051,167.6,2.6210000000000004,117.3,0.6542,0.0
94.24,26.82,103.6,-1.5630000000000002,311.9,3.63,103.3,0.629,1.0
83.07,38.95,40.63,-1.7480000000000002,51.38,1.4809999999999999,49.78,0.9342,0.0
90.32,20.9,131.1,-0.9459,88.41,1.886,79.26,1.168,0.0
87.2,29.99,36.91,2.199,152.6,2.8169999999999997,95.71,2.23,0.0
76.44,46.34,111.9,-1.757,350.0,3.4,158.9,0.4272,0.0
90.2,22.4,36.28,-1.933,305.0,4.288,98.86,2.174,0.0
91.06,12.38,118.9,0.9707,231.2,1.199,244.0,0.9849,1.0
91.31,31.02,44.67,-0.9651,142.7,0.4306,177.6,0.7289,1.0
82.45,37.08,113.8,1.305,37.14,0.02828,167.1,0.5065,0.0
92.24,27.92,131.4,-0.7374,94.94,0.1815,195.5,0.5708,1.0
89.19,13.74,84.98,-1.585,778.3,4.123,209.6,0.946,1.0
90.11,27.72,106.5,0.4657,185.9,1.886,146.4,0.4748,1.0
86.49,35.84,21.26,-2.931,124.2,1.845,86.06,1.797,1.0
91.56,31.94,73.54,2.099,141.5,0.3407,204.6,0.5576,1.0
95.98,12.75,93.11,1.099,470.8,4.553,105.1,1.011,1.0
61.08,51.3,58.41,1.568,90.37,2.108,70.36,1.26,0.0
91.96,24.72,123.1,-2.219,78.65,0.7626,132.0,0.6136,0.0
92.29,16.22,77.81,0.5205,160.3,3.4610000000000003,58.02,1.72,0.0
90.32,16.14,232.4,-0.3912,166.7,1.149,261.3,0.459,0.0
47.1,41.39,42.89,-1.5090000000000001,104.2,1.893,109.1,2.428,0.0
63.69,42.58,69.64,0.04173,1084.0,5.95,110.8,1.534,1.0
90.81,26.17,81.85,2.3890000000000002,376.6,3.64,157.5,0.996,0.0
90.72,24.86,189.7,-1.7269999999999999,36.6,0.1467,151.4,0.531,0.0
72.38,43.49,30.62,1.7169999999999999,964.0,5.337000000000001,188.5,1.355,1.0
89.2,22.04,44.78,0.9337,666.3,4.31,234.5,0.9637,1.0
92.93,22.19,96.53,1.021,165.9,2.12,139.9,3.718,0.0
81.37,38.66,104.9,1.335,405.5,3.818,154.7,0.1246,0.0
82.56,29.25,72.58,-0.3536,180.2,3.509,63.59,1.493,1.0
68.17,39.41,137.7,-0.06774,885.1,3.878,300.3,0.9403,1.0
73.0,45.11,106.8,1.255,95.89,2.327,60.96,0.4279,1.0
98.61,18.74,85.52,-2.434,312.8,3.61,125.5,0.438,0.0
92.4,29.8,110.8,-1.3,1148.0,5.9670000000000005,116.9,0.4346,1.0
68.97,47.01,156.8,-1.579,614.2,4.502,139.1,0.4193,1.0
92.35,31.09,42.7,-0.4476,927.6,5.522,121.8,0.7254,0.0
89.47,17.97,174.2,0.6265,721.7,4.604,190.4,1.012,0.0
87.14,17.18,80.32,-2.63,623.8,4.958,120.1,1.361,0.0
97.22,25.15,127.7,-0.8898,621.5,4.352,144.8,0.1645,1.0
98.52,21.41,211.2,0.1911,660.8,1.597,524.9,0.2656,0.0
84.18,30.66,77.19,-0.8724,446.3,3.842,167.1,1.536,1.0
89.65,23.91,495.7,1.926,173.8,0.08154,575.2,0.1801,0.0
92.07,22.24,102.3,0.4032,46.56,0.1676,99.67,0.9937,0.0
89.7,20.36,44.83,2.209,92.88,2.5269999999999997,53.93,1.702,0.0
91.99,30.76,88.6,0.6031,1044.0,6.295,90.18,0.6121,0.0
76.88,13.73,58.27,0.5571,324.9,3.813,135.9,1.6869999999999998,0.0
72.37,16.43,234.3,-0.4047,1078.0,4.936,265.6,0.8952,1.0
67.63,47.48,139.1,0.9689,237.7,3.358,93.23,0.6101,1.0
88.89,31.56,64.47,1.3419999999999999,754.3,4.185,186.0,0.2642,1.0
89.73,20.93,183.9,0.1437,521.8,2.048,361.5,0.7474,1.0
55.98,33.34,149.6,-0.737,111.0,0.2434,162.5,1.146,0.0
84.89,29.22,103.8,-0.968,423.2,4.26,109.2,0.3564,1.0
88.55,16.86,197.6,0.5046,1468.0,4.9830000000000005,263.3,0.8263,1.0
92.93,21.73,45.43,-1.187,1901.0,5.835,210.1,1.855,1.0
89.54,12.43,323.5,1.065,1012.0,3.9989999999999997,281.5,0.541,1.0
71.78,17.33,39.52,-2.735,87.74,2.061,62.19,2.6460000000000004,0.0
89.88,27.63,73.0,-2.089,116.5,1.8030000000000002,171.5,2.68,1.0
89.64,18.51,110.1,-1.5119999999999998,36.49,0.6885,86.98,1.005,0.0
90.97,30.6,97.99,0.3995,709.8,3.778,228.9,0.6428,0.0
92.12,28.15,170.8,-0.03392,154.2,1.671,176.4,0.3856,1.0
85.24,34.48,103.0,-1.528,171.0,1.9680000000000002,140.6,0.3183,1.0
79.66,34.39,52.62,1.5619999999999998,161.1,3.0460000000000003,75.28,1.587,0.0
87.49,20.11,224.1,1.078,967.9,4.21,307.3,0.02646,1.0
91.52,30.62,237.2,-0.964,447.3,3.2960000000000003,178.2,0.01011,1.0
87.54,15.69,171.9,1.683,865.7,5.279,221.6,0.278,0.0
90.92,21.29,211.2,-0.5707,342.5,3.3,191.7,0.1621,1.0
84.53,30.89,40.23,2.173,108.1,1.216,98.0,2.315,0.0
55.74,42.41,58.09,-1.797,385.2,4.15,97.04,2.18,1.0
88.75,29.13,10.85,-3.4989999999999997,876.6,5.896,131.8,2.6689999999999996,1.0
91.99,27.49,43.6,2.343,50.53,1.083,75.16,1.3319999999999999,0.0
91.77,22.99,116.5,0.2244,276.8,2.256,275.2,0.8391,1.0
46.61,38.62,44.48,0.5572,306.4,1.777,216.8,2.344,1.0
68.35,49.45,50.11,0.788,212.1,3.8089999999999997,64.8,1.429,0.0
89.02,34.9,112.6,-0.08363999999999999,985.2,5.034,215.5,0.08756,1.0
82.83,18.28,201.5,-0.627,128.9,0.09294,213.4,0.7624,0.0
92.06,27.7,115.0,-1.847,573.0,4.482,133.4,0.5353,1.0
61.43,50.94,146.3,-1.403,670.1,4.894,130.5,0.7979,1.0
